ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt,compound,score
1478808644892250114,If it's true that a large portion of Bitcoin supply has been due to China's new regulations prohibiting trade and… /2gXqRG2Los,𓃓 YearofTheBULL 𓄀 @misconfig_exe $LINK $LTC,45948,3,44,Wed Jan 05 19:20:30 +0000 2022,0.4215,871537.6575
1478808644900773894,Can you insure bitcoin? /k2gFngsM7A /TNLR8cQRzq,BitcoinAgile,64323,0,0,Wed Jan 05 19:20:30 +0000 2022,0.0,0.0
1478808647467679750,RT : Ray Dalio:  Allocating 2% of your portfolio to Bitcoin is reasonable,🍀 W8ng42025,101,242,0,Wed Jan 05 19:20:31 +0000 2022,0.0,0.0
1478808648377778184,RT : Ray Dalio:  Allocating 2% of your portfolio to Bitcoin is reasonable,Leverage Monkey (No DM’s or paid group),4348,242,0,Wed Jan 05 19:20:31 +0000 2022,0.0,0.0
1478808654711296003,RT : El Salvador will be miles ahead of everyone when others understand Bitcoin,Mr Stecka,20,71,0,Wed Jan 05 19:20:32 +0000 2022,0.0,0.0
1478808655017377794,"RT : bitcoin has become boring, but does that mean crypto is entering a new bear market? /ml3CPEDdPE",Lark Davis,2894,22,0,Wed Jan 05 19:20:32 +0000 2022,-0.1655,-479.1225
1478808655277477893,RT : .📣 $FUSE Has been on 🔥 these past couple of days! Marketcap grew to $200 million &amp; is closing in on top 3…,FEGtoken4Life,778,78,0,Wed Jan 05 19:20:33 +0000 2022,-0.2244,-174.80759999999998
1478808656879644672,Mbappe won't join Real Madrid in January; for now he's all business with PSG and France /P8Ho5EL7lu  ▶️… /64VCWRxa6I,BetFast.com,11034,0,0,Wed Jan 05 19:20:33 +0000 2022,0.1311,1446.6885
1478808659115270162,RT : This one looks real to me HAHAHAHA BABYFLOKI FLOKI BTC ETH DOGE SHIB SHIBARM…,Veronika Tesla,593,6,0,Wed Jan 05 19:20:33 +0000 2022,0.0,0.0
1478808659564109828,RT : BlueSparrow Tokenomics50…,Milad,180,1,0,Wed Jan 05 19:20:34 +0000 2022,0.0,0.0
1478808662218969088,"RT : Yes, Goldman Sachs, we know bitcoin is going to $100,000, but nice to see you guys shilling it to your wealthy clients.…",Lark Davis,2894,76,0,Wed Jan 05 19:20:34 +0000 2022,0.8316,2407.482
1478808664018464773,🚀🚀🚀 $UNFI Long Position(v1) 🚀🚀🚀Entry Price: 8.946Target:8.988Stop:8.854Binance Bitcoin Signals Buy UNFIUSDT UNFI,Hoba Bot,22395,0,0,Wed Jan 05 19:20:35 +0000 2022,0.0,0.0
1478808664349806594,RT : 🎙 New Project🔷 TradingPlanet (TP)🔶 TradingPlanet is a decentralized Automated Market Maker (AMM) based on the Bina…,mehmet güven,12,334,0,Wed Jan 05 19:20:35 +0000 2022,0.5859,7.6167
1478808664458752001,Philippe Coutinho transfer: Aston Villa could throw Barcelona veteran a Premier League lifeline… /eXj60xFToy,BetFast.com,11034,0,0,Wed Jan 05 19:20:35 +0000 2022,0.0,0.0
1478808664488116224,RT : L👀king for recommendation🤔🧐What cryptocurrency is worth buying for today?NFTs NFTCommmunity DeFi AVAX  TRX BTC…,🍀chel's🍀,53,940,0,Wed Jan 05 19:20:35 +0000 2022,0.6841,36.9414
1478808667835224064,I am claiming my free Lightning sats from 's amazing faucet! ⚡unlock me 9ea9e2cc-ceaf-4dec… /UzHNrEnyj7,bitcorn farmer,65,0,0,Wed Jan 05 19:20:36 +0000 2022,0.8122,53.6052
1478808668246355969,What happens when $CPTINU hits 1B MC?Crypto Comic &amp; Gaming NFT 🚀💸Leverage Inu Cult… /HksDhduwWK,NagaInTheIris ,354,0,2,Wed Jan 05 19:20:36 +0000 2022,0.0,0.0
1478808668451786756,RT : Another big move for Bitcoin on its way to BTC to $100kbitcoin ice cream available in selected LIDL stores now!But thi…,Kirin,48,4251,0,Wed Jan 05 19:20:36 +0000 2022,0.0,0.0
1478808669772992519,I love Bitcoin at a discount!,Sovereign Scotsman,2,0,0,Wed Jan 05 19:20:36 +0000 2022,0.6696,2.0088
1478808671349981185,RT : The Turkish lira is out here dropping like a shitcoin! Feels good to hold bitcoin/KJh7x2EYlH,Lark Davis,2894,52,0,Wed Jan 05 19:20:36 +0000 2022,0.69,1997.55
1478808672134479873,"RT : JULY 2ND 2021, WE MADE HISTORY. THIS IS AN INVITE TO JOIN US ON OUR EPIC JOURNEY. TRANSPARENT DEV TEAM. COMMUNITY DRIVEN…",muhammad mirzaie,50,89,0,Wed Jan 05 19:20:37 +0000 2022,0.6447,32.8797
1478808676794134531,RT : 🎙 New Project🔷 TradingPlanet (TP)🔶 TradingPlanet is a decentralized Automated Market Maker (AMM) based on the Bina…,Alamin Hossin,44,334,0,Wed Jan 05 19:20:38 +0000 2022,0.5859,26.365499999999997
1478808676794134531,RT : 🎙 New Project🔷 TradingPlanet (TP)🔶 TradingPlanet is a decentralized Automated Market Maker (AMM) based on the Bina…,Alamin Hossin,44,334,0,Wed Jan 05 19:20:38 +0000 2022,0.5859,26.365499999999997
1478808678153142278,RT : We have solutions for both B2B and B2C markets. If you have any software required for your business you can visit us at https…,Jessica June,1,6,0,Wed Jan 05 19:20:38 +0000 2022,0.1779,0.3558
1478808679692439552,RT : What country is going to adopt bitcoin next?,Lark Davis,2894,211,0,Wed Jan 05 19:20:38 +0000 2022,0.1779,515.0205
1478808680594239488,"RT : Chain's $50,000 Bitcoin Giveaway is back!Rules for entry:⛓ Follow on Instagram &amp; Telegram Channels (🔗 in bio)✅ Tag 3…",beatriz faria,113,3694,0,Wed Jan 05 19:20:39 +0000 2022,0.0,0.0
1478808681084964867,RT : Another big move for Bitcoin on its way to BTC to $100kbitcoin ice cream available in selected LIDL stores now!But thi…,King Kong 🏆©,45,4251,0,Wed Jan 05 19:20:39 +0000 2022,0.0,0.0
1478808685035941889,"RT : While all of the sweet gains (when we get them haha) are fun, at the end of the day it is important to remember what is…",Lark Davis,2894,80,0,Wed Jan 05 19:20:40 +0000 2022,0.91,2634.4500000000003
1478808685552017408,RT : BlueSparrow Tokenomics50…,Milad,180,1,0,Wed Jan 05 19:20:40 +0000 2022,0.0,0.0
1478808686483042305,Judge not from appearances.💎💎💎🚀🚀🚀🔥🔥🔥/kTJLy1SDWmBTC ETH BNB RBX… /gRxzCoUGeK,shanhe💎 Elite Soldier💎,1695,24,17,Wed Jan 05 19:20:40 +0000 2022,-0.5859,-17886.355199999998
1478808687221350403,"RT : Goldman Sucks says bitcoin will compete with gold as ""store of value"" /peMoQnYuq1",Albert Coiner ☂️ ⚡️🇬🇧,233,3,0,Wed Jan 05 19:20:40 +0000 2022,-0.0258,-6.0372
1478808688190279699,RT : ⚡️MEGA NFTGiveaway⚡️ 1x 🧑‍🚀  1x 👽1x 🏴‍☠️1x 🧑‍🍳1x …,Masteretweeter,280,591,0,Wed Jan 05 19:20:40 +0000 2022,0.0,0.0
1478808691432472585,It will be measured in Bitcoin,Fiat Ist Tot ₿,310,0,0,Wed Jan 05 19:20:41 +0000 2022,0.0,0.0
1478808691835117570,RT : Ray Dalio:  Allocating 2% of your portfolio to Bitcoin is reasonable,Black Holes,98,242,0,Wed Jan 05 19:20:41 +0000 2022,0.0,0.0
1478808692418129921,"if BTC Bitcoin will close under that major support(~45.5K$),it will go very straight towards 42k. /OZWxKzmGlA",Shoda,20,0,1,Wed Jan 05 19:20:41 +0000 2022,0.2944,12.364799999999999
1478808693026312196,RT : Check out this item on OpenSea /qv32ACD2fW ETH Airdrop Airdrops nftcollectors NFT NFTCommmunit…,Lenis Veiga,1586,1,0,Wed Jan 05 19:20:42 +0000 2022,0.0,0.0
1478808693902872583,Bitcoin Decision time is coming ! ⬆️/⬇️BTC /Nq8c4KwIzh,Stanek 👾🎲,1839,1,14,Wed Jan 05 19:20:42 +0000 2022,0.0,0.0
1478808694028742663,"RT : Bitcoin Fear and Greed Index is 29 - Fear,Current price: $46,900.Ethereum Fear and Greed Index is 37 - Fear,Current…",🛡️MXImpulse,1410,16,0,Wed Jan 05 19:20:42 +0000 2022,-0.8957,-1263.8327000000002
1478808694523514880,"RT : When you internalize the fact that bitcoin is going to $100,000 all of this just becomes so much easier.",Lark Davis,2894,113,0,Wed Jan 05 19:20:42 +0000 2022,0.4728,1368.756
1478808695014363141,"RT : 💖10,000,000 LOVECOIN GIVEAWAY RAFFLE CONTEST💖RETWEET THIS POST &amp; POST YOUR LOVECOIN ADDRESS IN THE COMMENT SECTION B…",Austin Hutton,3,2411,0,Wed Jan 05 19:20:42 +0000 2022,0.5267,2.1068
1478808698948517888,RT : 🎙 New Project🔷 PixelVerse (PIXEL)🔶 PixelVerse is a unified Metaverse NFT ecosystem platform that aims to be a one-…,Tatami Grisha,29,10204,0,Wed Jan 05 19:20:43 +0000 2022,0.7506,22.518
1478808698965348357,"RT : What will be the next country to recognize bitcoin as a legal tender, following El Salvador's 🇸🇻 steps? Drop your pred…",𝔉𝔢𝔩𝔦𝔭𝔢 𝔄𝔤𝔲𝔦𝔞𝔯,8,148,0,Wed Jan 05 19:20:43 +0000 2022,-0.1531,-1.3779000000000001
1478808706146086922,"A global, decentralized, peer to peer, proof of work health protocol built on BitcoinNode validation protocol… /OY9f1VBDsg",₿ diplomat,311,0,2,Wed Jan 05 19:20:45 +0000 2022,0.0,0.0
1478808706456465413,RT : 🎙 New Project🔷 PixelVerse (PIXEL)🔶 PixelVerse is a unified Metaverse NFT ecosystem platform that aims to be a one-…,Miguel Jimenez Garcia,1,10204,0,Wed Jan 05 19:20:45 +0000 2022,0.7506,1.5012
1478808709253918720,RT : L👀king for recommendation🤔🧐What cryptocurrency is worth buying for today?NFTs NFTCommmunity DeFi AVAX  TRX BTC…,💙TYBTfam💜don't rt my rt‼️,58,940,0,Wed Jan 05 19:20:45 +0000 2022,0.6841,40.361900000000006
