ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt
1480722342154321922,"RT @jingjie21567771: The air coin in your eyes is in the whole world, in the universe, the world is changing in AIRCASH, and anonymous prop…",灯塔,1,282,0,Tue Jan 11 02:04:51 +0000 2022
1480722338114981889,"RT @polysportsio: Yesss, you read it right!! We are a team of 10K now 🎉🎉🎊🎊Thank You everyone for showing soo much support 🙌💪#Polysports #…",please pick meeeeee picknava/pickaw🎉🍀,41,670,0,Tue Jan 11 02:04:50 +0000 2022
1480722336043130880,RT @anilsaidso: Bill Miller on why so many financial luminaries failed to grok #Bitcoin.⚾️ https://t.co/9lMFkzdaAe,Stonktoshi Nakafomo,79,266,0,Tue Jan 11 02:04:50 +0000 2022
1480722335967571972,RT @AirdropStario: 💧 TTAP Airdrop 💧🏆 Task:          ➕ 5 USDT for 300 random participants.👨‍👩‍👧 Referral:   ➕ 25 USDT for top 20 referre…,Arif Shikder,5,468,0,Tue Jan 11 02:04:50 +0000 2022
1480722333329498119,"RT @CoinCornerDanny: While #Bitcoin dips below $40,000Let's take a look what happened in 2021 building the momentum and foundation for #B…",⚡₿⚡,261,213,0,Tue Jan 11 02:04:49 +0000 2022
1480722332683743235,RT @promoarchie: 🌟I want to work with multiple #NFTProjects and want to help them gain exposure and gain a active fanbase!Dm me for a paid…,Toshiro,4,40,0,Tue Jan 11 02:04:49 +0000 2022
1480722332155011072,**#Bitcoin doubters thinking this is the end**Me knowing I'd buy $BTC even at $0.0000001 https://t.co/t6dI9makBF,Moon,7617,0,0,Tue Jan 11 02:04:49 +0000 2022
1480722329604739072,RT @AcronaCity: Live AMA on NOW🔥https://t.co/Dq1AQzmTRf#nfts #nft #nftart #nftartist #nftcollector #cryptoart #digitalart #nftcommunity…,Poppy_thecavdach,15,1,0,Tue Jan 11 02:04:48 +0000 2022
1480722326434074631,RT @BTCTN: In 1980 people said the same thing about silver futures after it topped at $50. “It then sank to a low of $3.65 and did not star…,you_love01p,4418,56,0,Tue Jan 11 02:04:47 +0000 2022
1480722326186598400,RT @BMBCoin: 💥BMB  Pre-Sale 2 with a discount Bonus Live⌛️ the end PRE SELL BMB💢only 24 DAYS is left🧭End Pre sell 05 February 2022✅…,Chef Khalyfa,29,8,0,Tue Jan 11 02:04:47 +0000 2022
1480722322763890697,"RT @airdropinspect: New airdrop: Influencio (USDT)Total Reward: 3,000 USDTRate: ⭐️⭐️⭐️⭐️Winners: 1,000 Random &amp; Top 100Distribution: wi…",Lynx Sao,1,8342,0,Tue Jan 11 02:04:46 +0000 2022
1480722321442672640,RT @crypto_lady12: $TCT Have you heard about #wildcardgame @wildcardp2e? I have and it's great !!  Don’t let what you can’t do interfere wi…,Rohit,153,5,0,Tue Jan 11 02:04:46 +0000 2022
1480722313788018689,"RT @AirdropDet: 🔍 New #Airdrop: Ancient KingDom💲Reward: Up to 35 DOM (~$4.1) + 30K DOM (~$6,775) referral pool🔴 Start the airdrop bot h…",Arjun mahto,15,10057,0,Tue Jan 11 02:04:44 +0000 2022
1480722311506546689,"RT @CoinCornerDanny: While #Bitcoin dips below $40,000Let's take a look what happened in 2021 building the momentum and foundation for #B…",KryptvZ,3,213,0,Tue Jan 11 02:04:44 +0000 2022
1480722304774512644,Bitcoin Mood: How The Fed’s Actions Might Affect the Cryptocurrencyhttps://t.co/z24FHVZkzB #BTC #Crypto,TheBitcoinScoop,43,0,0,Tue Jan 11 02:04:42 +0000 2022
1480722303898079233,RT @Aircoin_LNteam: If I send you some encrypt.Please select one of them.#AirCoin #AirCash #AirCoinDAOLabs #SHIB @Aircoinreal @elonmusk @…,灯塔,1,266,0,Tue Jan 11 02:04:42 +0000 2022
1480722301238849536,Dollar depreciation vs. the growth of bitcoin#Investors prefer bitcoin over the dollar#Dollar #Cryptocurrencies… https://t.co/fTzaheedI4,WebMediums,6414,0,0,Tue Jan 11 02:04:41 +0000 2022
1480722295182090245,@TomerStrolight #Bitcoin is like Project Mayhem - you choose your own level of involvement.,Mission Bitcoin,300,0,0,Tue Jan 11 02:04:40 +0000 2022
1480722293663928323,@AirdropStario Thanks you so much. I am glad to This is excellent project for in this future with strong developmen… https://t.co/mzRxUvUEWD,Hayavi_Design,79,0,0,Tue Jan 11 02:04:39 +0000 2022
1480722290543403008,RT @Blockworks_: BREAKING: Klay Thompson to take part of his salary in Bitcoin stating that #Bitcoin is the future of money https://t.co/TL…,Stephortless,332,411,0,Tue Jan 11 02:04:39 +0000 2022
