time,high,low,open,close,conversionType,conversionSymbol
1641893280,42039.07,42014.48,42016.14,42036.96,direct,
1641893340,42051.39,42023.76,42036.96,42028.02,direct,
1641893400,42051.8,42028.02,42028.02,42038.61,direct,
1641893460,42046.43,42026.96,42038.61,42046.42,direct,
1641893520,42047.07,42031.72,42046.42,42036.56,direct,
1641893580,42058.99,42028.19,42036.56,42058.96,direct,
1641893640,42066.68,42054.37,42058.96,42057.32,direct,
1641893700,42066.05,42049.49,42057.32,42051.99,direct,
1641893760,42062.67,42045.49,42051.99,42062.67,direct,
1641893820,42066.88,42056.98,42062.67,42064.24,direct,
1641893880,42092.65,42063.15,42064.24,42092.44,direct,
1641893940,42095.87,42083.55,42092.44,42084.41,direct,
1641894000,42089.36,42068.29,42084.41,42071.75,direct,
1641894060,42071.84,42059.84,42071.75,42062.34,direct,
1641894120,42074.32,42053.72,42062.34,42073.25,direct,
1641894180,42076.94,42064.63,42073.25,42070.63,direct,
1641894240,42112.8,42059.27,42070.63,42103.93,direct,
1641894300,42105.86,42085.42,42103.93,42086.78,direct,
1641894360,42095.13,42078.56,42086.78,42095.07,direct,
1641894420,42095.07,42087.02,42095.07,42094.1,direct,
1641894480,42098.63,42086.72,42094.1,42097.04,direct,
1641894540,42146.51,42097.04,42097.04,42134.93,direct,
1641894600,42136.93,42109.35,42134.93,42111.45,direct,
1641894660,42118.17,42089.64,42111.45,42093.56,direct,
1641894720,42097.35,42066.67,42093.56,42071.31,direct,
1641894780,42076.99,42035.41,42071.31,42036.37,direct,
1641894840,42036.37,42021.28,42036.37,42029.5,direct,
1641894900,42035.11,42002.64,42029.5,42016.24,direct,
1641894960,42019.21,41994.58,42016.24,41994.58,direct,
1641895020,42012.89,41992.66,41994.58,42011.59,direct,
1641895080,42011.59,41975.14,42011.59,41987.97,direct,
1641895140,41997.85,41983.51,41987.97,41992.15,direct,
1641895200,41995.05,41972.28,41992.15,41976.22,direct,
1641895260,41991.17,41966.88,41976.22,41989.06,direct,
1641895320,42021.35,41983.89,41989.06,42016.89,direct,
1641895380,42016.89,41998.16,42016.89,42000.96,direct,
1641895440,42006.71,41993.39,42000.96,41993.83,direct,
1641895500,42022.53,41984.66,41993.83,42010.13,direct,
1641895560,42067.67,42003.2,42010.13,42050.17,direct,
1641895620,42054.77,42037.21,42050.17,42053.47,direct,
1641895680,42059.26,42043.61,42053.47,42047.93,direct,
1641895740,42054.74,42007.75,42047.93,42009.27,direct,
1641895800,42022.73,42006.29,42009.27,42021.14,direct,
